instant_hour,dteday,season_hour,yr_hour,mnth_hour,hr,holiday_hour,weekday_hour,workingday_hour,weathersit_hour,temp_hour,atemp_hour,hum_hour,windspeed_hour,casual_hour,registered_hour,cnt_hour,day_type,instant_day,season_day,yr_day,mnth_day,holiday_day,weekday_day,workingday_day,weathersit_day,temp_day,atemp_day,hum_day,windspeed_day,casual_day,registered_day,cnt_day,season_label,weather_label
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.194,3,13,16,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.194,8,32,40,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.194,5,27,32,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.194,3,10,13,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.194,0,1,1,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.194,2,0,2,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.194,1,2,3,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.194,1,7,8,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.194,8,6,14,Akhir Pekan,1,1,0,1,0,0,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,Winter,Cloudy
